case_slug,slice,input_name,input_domain,linkedin_url
ww_1a2f30489fceb35bc993707dad1759cb,long_tail,Estudio Gamarra Abogados,gamarrafirma.com,https://www.linkedin.com/company/gamarraabogados
ww_1a461ff202a409d1e4ceb4597e935b07,stable_large,Solvo Global,solvoglobal.com,https://www.linkedin.com/company/solvo-global
ww_1a6f9289ebb892a7a31d02a44b8de6c5,stable_large,Etisalat Nigeria,etisalat.com.ng,https://www.linkedin.com/company/etisalat-nigeria
ww_1aa2e91b77ea85e1c8846c89ee6e874d,subsidiary,Primark,primark.com,https://www.linkedin.com/company/primark-stores-ltd
ww_1b9fd5e835e2b3d7d514724a7d87678c,subsidiary,Topvote,gettopvote.com,https://www.linkedin.com/company/topvote
ww_1e448844699d1b81c70ad05fe2967ede,long_tail,SWLA Economic Development Alliance & Chamber SWLA,allianceswla.org,https://www.linkedin.com/company/the-southwest-louisiana-economic-development-alliance
ww_1ee302306b931b2e96111b7e9f94a09a,long_tail,Apolo Consulting Group,apologrupo.com,https://www.linkedin.com/company/apolo-consulting-group
ww_21123b836fa2ca0959e8810e55974bf7,stable_large,Project HOPE,projecthope.org,https://www.linkedin.com/company/project-hope
ww_21672681d57b4e78b5c16e723a792e4a,subsidiary,The Clashify,theclashify.com,https://www.linkedin.com/company/theclashify
ww_22ab5b1f63f42acef1a8f90636b97761,subsidiary,Austrian Airlines,austrian.com,https://www.linkedin.com/company/austrian-airlines
ww_233e04d35d6a4bbfcbb99c6ffcb873dd,subsidiary,Quinyx,quinyx.com,https://www.linkedin.com/company/quinyx
ww_2345d47041ac7d9b90131135a29668c9,long_tail,GemKara,gemkara.com,https://www.linkedin.com/company/gemkara-com
ww_23e773c1e0d69f2513443fdb2de05c48,subsidiary,Techminds Learning Services,techmindsglobal.com,https://www.linkedin.com/company/techminds-learning-services
ww_243d5f6e89764f4e460ca0c31ac920a5,long_tail,CM Hammar AB,cmhammar.com,https://www.linkedin.com/company/cm-hammar
ww_26ebcc8da55c5cd86c36c98362866db7,subsidiary,"National Bank of Pakistan, Frankfurt am Main",nbpffm.de,https://www.linkedin.com/company/national-bank-of-pakistan-frankfurt-am-main
ww_27bca8f72578559ab9f1c3284ac4c11a,long_tail,Texas A&M University,tamu.edu,https://www.linkedin.com/school/texas-a&m-university
ww_29b78f44f94b1cf83c888ef8de96fae6,subsidiary,BNY,bny.com,https://www.linkedin.com/company/bnyglobal
ww_2b3d67b7d6eb86091b342fc32a73a80c,long_tail,"Allied Wholesale Electrical Supply, Inc.",awesi.com,https://www.linkedin.com/company/awesi
ww_2b5c0760b9beed96ad106617dedd44fa,stable_large,Tradimaq,tradimaq.com.br,https://www.linkedin.com/company/tradimaq
ww_2bf2d1bc76a170424ceffc95b2919cee,long_tail,Financial Design Group,fdgonline.com,https://www.linkedin.com/company/financial-design-group
ww_2c3bc1cec97df18a0c1030783613c35f,long_tail,eAgency,goeagency.com,https://www.linkedin.com/company/goeagency
ww_2c3ed841cc4f50e14ad08f67cbadadec,subsidiary,Bankin'​,bankin.com,https://www.linkedin.com/company/bankin
ww_2eaabe790df923e529ffd33a1afcd60c,subsidiary,University of Massachusetts Amherst,umass.edu,https://www.linkedin.com/school/umassamherst
ww_2ed0f8e1b7779fed4ffb357aff552cdb,stable_large,Association of All Pharmacists Cooperatives,tekb.org.tr,https://www.linkedin.com/company/tekb---t-m-eczac-kooperatifleri-birli-i
ww_2f60492ca384e6e297af03cd908ff95a,long_tail,Grupo Broda,grupobroda.com,https://www.linkedin.com/company/grupo-broda
ww_3158eb61373d63ee10b64285f351fdfa,stable_large,Universidad Central (CO),ucentral.edu.co,https://www.linkedin.com/school/universidad-central-colombia-
ww_31a5200241c910717cb32ef0939a4f0f,stable_large,Louis Philippe,louisphilippe.com,https://www.linkedin.com/company/louisphilippe
ww_320db40ce3ce99e0a654570cec133e04,long_tail,NHT Linhas Aéreas,voenht.com.br,https://www.linkedin.com/company/nht-linhas-a-reas
ww_32fcc8cfe1fa4c77b5c58dafd36d1a98,stable_large,CAS,cas.org,https://www.linkedin.com/company/cas
ww_34b79ddbbae1b7d0391d9caefa5d12f4,stable_large,ARRI,arri.com,https://www.linkedin.com/company/arri
ww_353d65641c421808b1ab7111cd886ff9,subsidiary,LH Mall & Hotel (LHMH),lhmh.co.th,https://www.linkedin.com/company/lhmh
ww_3725c379fb8e5707c981f64939a9982a,subsidiary,Danata Geo Travel,danatageotravel.com,https://www.linkedin.com/company/danata-geo-travel
ww_374a18640f2aa2ae77a1ca3557738ba6,subsidiary,Nicholson + Co,nicandco.nz,https://www.linkedin.com/company/nicandco
ww_37a70bfe6cb9b1af966d4664b1ad1e61,subsidiary,PANews,panewslab.com,https://www.linkedin.com/company/panews
ww_37e0eaaff0973a8ab20092edeacf2ff0,stable_large,Butte College,butte.edu,https://www.linkedin.com/school/buttecollege
ww_3815511cb8db0d28103b24ea2414a152,long_tail,Grupo Multifix,grupomultifix.com.br,https://www.linkedin.com/company/grupomultifix
ww_39c262467c88c220e0a45750f725a4a8,long_tail,Pulpo Negro,pulponegro.co.uk,https://www.linkedin.com/company/pulpo-negro
ww_3ab2f3acb81d3e18ec62f94951ea8390,long_tail,HIMGIRI PUBLIC SCHOOL,hpssamalkha.com,https://www.linkedin.com/company/himgiri-public-school
ww_3b9a098d733163842595082f2feae03c,subsidiary,Kickstarter,kickstarter.com,https://www.linkedin.com/company/kickstarter
ww_3c34ae6a89533052c6778f1d9bb4b317,stable_large,AmbujaNeotia Group,ambujaneotia.com,https://www.linkedin.com/company/ambuja-neotia-group
ww_3d0f0b9625784afe52904d9e2441d95f,long_tail,Hellenic Defence Systems S.A.,eas.gr,https://www.linkedin.com/company/hellenic-defence-systems-s.a.
ww_3da678392d5ac1ff456fe6e06354fdef,stable_large,IDEA Public Schools,ideapublicschools.org,https://www.linkedin.com/company/idea-public-schools
ww_3e716c9d59d061dbf9e37203f9ff221d,long_tail,Simplia Facility Solutions,simpliafacility.com,https://www.linkedin.com/company/simplia-facility-solutions
ww_41f42510b0adae3011fd7179ae206086,subsidiary,Jeulin,jeulin.com,https://www.linkedin.com/company/jeulin
ww_4236a3619615e6a340ce02461732b655,long_tail,Astor Hotel Motel,astorhotelalbury.com.au,https://www.linkedin.com/company/astor-hotel-motel
ww_43207fd5e34f87c48d584fc5c11befb8,stable_large,"McDermott International, Ltd",mcdermott.com,https://www.linkedin.com/company/mcdermott-international-inc-
ww_432bc07b920b9e25a83c780c7232c541,stable_large,UTC Engenharia,utc.com.br,https://www.linkedin.com/company/utc-engenharia
ww_4614b1f3a471f475f5857c052337e09e,long_tail,LBS International Conferences,lbsglobal.com,https://www.linkedin.com/company/lbs-international-conferences
ww_46232b608ec35d269f3db2c1e0e82cff,long_tail,Clear Lake Animal Hospital,vetinpalmbeach.com,https://www.linkedin.com/company/clear-lake-animal-hospital
ww_46c28c0331fc21f3223734d210374f72,stable_large,Bourbon Hotels & Resorts,bourbon.com.br,https://www.linkedin.com/company/bourbon-hospitalidade
ww_486e5cc203a284532db9b631a011a168,subsidiary,Tibber,tibber.com,https://www.linkedin.com/company/tibber
ww_4a0255b7923d21c88bdc4d9c22d8936c,long_tail,AVN TEAM Tunneling support,avnteam.com,https://www.linkedin.com/company/avn-team-tunneling-support
ww_4e6e3040e8851635294319dc95e93027,long_tail,Blue Line Futures,bluelinefutures.com,https://www.linkedin.com/company/blue-line-futures
ww_4f382d26d3852b5edf97966804b49c01,subsidiary,ClaimHit,claimhit.com,https://www.linkedin.com/company/claimhit
ww_507c3f62063e6f4771cfba78809f76a4,stable_large,EMCC FRANCE,emccfrance.org,https://www.linkedin.com/company/emccfrance
ww_51123cc7268f8de95508a0aae34ad577,stable_large,CSIRO,csiro.au,https://www.linkedin.com/company/csiro
ww_51e4e58ffb0218aa3348acb99c6de545,long_tail,Hose Guys,highpressurehose.com,https://www.linkedin.com/company/hose-guys
ww_5211e739d7db35206c586d5ff27f34cf,subsidiary,Velesium Labs,velesium.ai,https://www.linkedin.com/company/velesiumlabs
ww_526e25ebabe938b8322c06d253f918b0,subsidiary,Bridgestone Americas,bridgestoneamericas.com,https://www.linkedin.com/company/bridgestone
ww_5325dc48e755498686ad2e3a7dcde409,long_tail,P. D. Polychem Pvt Ltd,pdpolychem.com,https://www.linkedin.com/company/pdpolychem
ww_535b2362e64ff901a954bb280afb197e,stable_large,Beijing Jiaotong University,njtu.edu.cn,https://www.linkedin.com/school/beijing-jiaotong-university
ww_583e39f257439685a80189ee1df5e134,stable_large,Parc Sanitari Sant Joan de Deu,pssjd.org,https://www.linkedin.com/company/parc-sanitari-sant-joan-de-deu
ww_58ee2794cc87707943624dc8db2ff5a0,subsidiary,University of Connecticut,uconn.edu,https://www.linkedin.com/school/university-of-connecticut
ww_5ab3fa43bf1cdfe8f008a84737679ab0,long_tail,Appoquinimink School District,apposchooldistrict.com,https://www.linkedin.com/company/appoquinimink
ww_5cca48cb4250836e4203b69ee8a2c685,long_tail,Hitchcock ISD,hitchcockisd.org,https://www.linkedin.com/company/hitchcockisd
ww_5d25db42f4ecf28302c623a3ff618264,long_tail,ESEN International Movers,esenmoving.com.tr,https://www.linkedin.com/company/esen-international-movers
ww_5d97a7ef70f6c883d61c5201c3069882,stable_large,Tesco Technology,tesco-careers.com,https://www.linkedin.com/company/tesco-technology
ww_5e45ee43ad4c583428f4381f141c836d,subsidiary,RINA,rina.org,https://www.linkedin.com/company/rina
ww_5f34d0e6f248482868ba7b8ff25bd603,long_tail,U.Digital s.r.o.,udigital.sk,https://www.linkedin.com/company/u-digital-s-r-o
ww_61f0c4877ceb961e6ecab9bcd110a858,subsidiary,Telechat,telechat.com,https://www.linkedin.com/company/telechatapp
ww_6247e2816af2cfeaadb7304f3211baae,subsidiary,Pele Green Energy,pelegreenenergy.com,https://www.linkedin.com/company/pele-green-energy
ww_630c28168d48d0bf014d177b72c02978,stable_large,Bestway Wholesale,bestwaygroup.co.uk,https://www.linkedin.com/company/bestway-wholesale
ww_637d86f2fe56e90a9507a9c8457f1a42,stable_large,C.H. Guenther,chg.com,https://www.linkedin.com/company/c-h-guenther
ww_65e66f8c0afdb9b8229d9029cb3016af,long_tail,ALGUSA CONSTRUCTORA,algusaconstructora.com,https://www.linkedin.com/company/algusa-constructora
ww_675fd9f03c1db48ad5a3c500d945a73c,subsidiary,pladis Global,pladisglobal.com,https://www.linkedin.com/company/pladisglobal
ww_689629807e89478f1d6ec2002b7f82bc,subsidiary,Fashion for Good,fashionforgood.com,https://www.linkedin.com/company/fashionforgood
ww_6991895ecc56768f4e0f4b5266efac64,long_tail,ICU Technologies Inc.,icu-techinc.com,https://www.linkedin.com/company/icu-technologies-inc
ww_6b770f3b7c281868ec42c36703320eb2,subsidiary,Invest Northern Ireland,investni.com,https://www.linkedin.com/company/invest-northern-ireland
ww_6c12888121ec598c20897888e81aa659,long_tail,Upptic,upptic.com,https://www.linkedin.com/company/upptic
ww_6c782e066051527678b2d95fcf333d89,stable_large,Activos Colombia,activos.com.co,https://www.linkedin.com/company/activoscolombia
ww_6d24a5ca0921fea0b7048c85f25b932d,long_tail,Smart Built Environment,smartbuilt.se,https://www.linkedin.com/company/smart-built-environment
ww_6f28f4d866235f72702219514eef4e12,subsidiary,IAI - Israel Aerospace Industries,iai.co.il,https://www.linkedin.com/company/iai
ww_7096dca61db91fb5534429a147cf01ca,stable_large,Semir Group International,semirbiz.com,https://www.linkedin.com/company/semir-international
ww_71028d01d546b4bb60cbcb762fa7777c,long_tail,Heartworks IV,heartworksiv.com,https://www.linkedin.com/company/heartworksiv
ww_720e79c7f49c1042fdbd8d7657c098d6,stable_large,STS Aviation Group,stsaviationgroup.com,https://www.linkedin.com/company/sts-aviation-group
ww_72d8ba6e28731add68ca0712d415897d,long_tail,BraSolar,brasolar.pt,https://www.linkedin.com/company/brasolar
ww_72e42599f17490ec11eb465267fd8b65,subsidiary,RawStone Games,rawstone.net,https://www.linkedin.com/company/rawstonegames
ww_7412ae8dbd8c1bb976a375f5569187d3,stable_large,Heco - Healthcare Ecosystem,heco.health,https://www.linkedin.com/company/hospital
ww_7536e84e6ba35207c6f3b6e088cf8319,subsidiary,Jens S. Transmissioner AB,jens-s.se,https://www.linkedin.com/company/jens-s-transmissioner-ab
ww_77b8fdbb9f355bd628eefc2483ac6e44,subsidiary,CorePay,corepay.in,https://www.linkedin.com/company/corepay-in
ww_7aa3f3d18d9f041bbd5b25d79a68b07e,long_tail,Working Dog Productions,workingdog.com,https://www.linkedin.com/company/workingdogproductions
ww_7ab8678e1f3786db20b74478b3dcfaa8,subsidiary,Health Assistance,coopsalute.org,https://www.linkedin.com/company/healthassistance
ww_7c77080acc898d293b6d10277e161170,stable_large,PATERSON PUBLIC SCHOOLS,paterson.k12.nj.us,https://www.linkedin.com/company/paterson-public-schools
ww_7d6ef7159994fd58fffcea264aefb5db,subsidiary,The Wildcard Alliance,wildcardgame.com,https://www.linkedin.com/company/wildcard-alliance
ww_7da995c4475a937dfdd1dbc776850f36,stable_large,en world Japan K.K.,enworld.com,https://www.linkedin.com/company/en-world
ww_7ddf5941070a55a4fb82dfa052e44bff,subsidiary,Barclays Center,barclayscenter.com,https://www.linkedin.com/company/the-barclays-center
ww_7fa3ceee2137a442ef2acc5a716f50c3,long_tail,POMECHAIN,pomechain.com,https://www.linkedin.com/company/pomechain
ww_8004d637b6236202217be3dfcdd8ce59,stable_large,Orange Polska,orange.pl,https://www.linkedin.com/company/orangepolska
ww_8068d7635f7a7795f28eb3ad0633f538,subsidiary,CFNEWS,cfnews.net,https://www.linkedin.com/company/cfnews
ww_844c6d82a7a0fd3365c7dc5e496aa39b,subsidiary,RIDGID Tools,ridgid.com,https://www.linkedin.com/showcase/ridge-tool-company
ww_859268caa778a8c4c300af9df1739076,subsidiary,Jefe de Ventas Nacional Division Tour Operadores  Grupo Avoris,travelplan.es,https://www.linkedin.com/company/travelplan-globalia-
ww_85b179903512d9148c3b05be74b1f1e1,long_tail,Catalyst Services UK,catalystservicesuk.com,https://www.linkedin.com/company/catalystservicesuk
ww_867e9ab13f591b6da73a3c5ef92048d9,long_tail,REMAX Urbe II,vivirenvalencia.net,https://www.linkedin.com/company/remaxurbe2
ww_86b8935fbd47e2722904456718d148d6,stable_large,Nazarbayev University,nu.edu.kz,https://www.linkedin.com/school/aoe-nazarbayev-university
ww_8717c3c4893196eb0a4ab5f09e789e64,subsidiary,Agora Limited,agorasuperstores.com,https://www.linkedin.com/company/agoralimited
ww_87fa5fad29d583aa0986b12ceabc3df9,long_tail,CorrPak Group,corrpakgroup.com,https://www.linkedin.com/company/corrpak-group
ww_8928d9d198ec2dfc3961ce107b9695d8,subsidiary,PickMyWork,pickmywork.com,https://www.linkedin.com/company/pickmywork
ww_896d7ea6ffc0a80e9c3703fb35fd7a34,stable_large,Maisons familiales rurales (MFR),mfr.fr,https://www.linkedin.com/company/mfr-officiel
ww_8b1a493dacd40c3e95e0ff7cbc3a4311,subsidiary,Compass Venture Capital,compass.mu,https://www.linkedin.com/company/compass-venture-capital
ww_8b1fd5b0e2d353392e146617d3476b62,subsidiary,InSTEDD iLab Southeast Asia,ilabsoutheastasia.org,https://www.linkedin.com/company/instedd-ilab-southeast-asia
ww_8bbed0561fb3eaa614232d7a2214eaa0,stable_large,CSE,groupcse.com,https://www.linkedin.com/company/group-cse
ww_8d23698a945eceb8bf52b3f00072f524,stable_large,QROMA,qroma.com.pe,https://www.linkedin.com/company/qroma
ww_8eec2011b73da7968f5a41800c6c645c,long_tail,Message Matters,messagematters.co.uk,https://www.linkedin.com/company/message-matters-ltd
ww_8f1fd091cc48ed9cbc666ea885f31a93,stable_large,"IMA Financial Group, Inc.",imacorp.com,https://www.linkedin.com/company/ima-financial-group-inc
ww_912fba58607e905e25fbe5f75ebbb0ef,stable_large,PZU,pzu.pl,https://www.linkedin.com/company/pzu
ww_9145f9fce1b3d36b3cf02899b17298df,long_tail,ADM Interactive,adm.ee,https://www.linkedin.com/company/adm-interactive
ww_927d99cef5c78d08d546dd21268ec355,long_tail,IMOSS bureau voor stedebouw bv,imoss.nl,https://www.linkedin.com/company/imoss-bureau-voor-stedebouw-bv
ww_94ed6e8170e3e6bce2a5d0da2a408ccc,subsidiary,Gen X Diagnostics - India,genxdiagnostics.com,https://www.linkedin.com/company/gen-x-diagnostics---india
ww_9854e1a1f89ee9bcae85c716c75acb34,subsidiary,TouchPal,touchpal.com,https://www.linkedin.com/company/touchpal
ww_993908128d5f57a3b5c2bf30c66f03dc,long_tail,BIG MEGA Renewable Energy,bigmegare.com,https://www.linkedin.com/company/big-mega-renewable-energy
ww_99d4a02f5011c51b6084b311ebe72d89,subsidiary,Lease Link Canada Corp.,leaselink.ca,https://www.linkedin.com/company/lease-link-canada
ww_99e002fefb78253291bf83d335fd4da8,long_tail,Texzone Information Services Pvt. Ltd.,texzoneindia.com,https://www.linkedin.com/company/texzone-information-services-private-limited
ww_9a5f7131b46fd2bcfb6106cbcd4e84f3,long_tail,zandscarpets,zandscarpet.com,https://www.linkedin.com/company/zandscarpets
ww_9a8a2b75b7e0e44fbfb63657d9c04e51,subsidiary,Utility Warehouse,uw.co.uk,https://www.linkedin.com/company/utilitywarehouse
ww_9c8324a6a44a80413ab534b138925229,stable_large,Interac Corp.,interac.ca,https://www.linkedin.com/company/interac-corp
ww_9d0cec3f95d8950e74658af9825562ea,long_tail,Lift Education,lifteducation.com,https://www.linkedin.com/company/lift-education-nz
ww_9df981e28f837797e4cd2dc925b5ac4e,long_tail,"Kee Safety, Inc",keesafety.com,https://www.linkedin.com/company/keesafetyinc
ww_9eab5a76741e5945a56a37514566c011,subsidiary,Bergen Mekaniske AS,bergenmek.no,https://www.linkedin.com/company/bergen-mekaniske-as
